"propertyId","rentPrice","area","bathrooms","rooms","garages","latitude","longitude","address","suites","rentPeriodId","condominiumPrice","iptu"
"64061183","600","25","1","1","0","-27.5944444","-48.5752778","GENERAL LIBERATO BITTENCOURT, 1673","0","MON","85","52"
"61961167","1000","48","1","2","1","-27.6357342","-48.5212237","JORGE LACERDA, 1835","0","MON","345","69"
"64292405","650","75","1","2","0","-27.5944444","-48.5752778","DESEMBARGADOR GIL COSTA, 734","0","MON","210","46"
"56135180","1650","78","2","2","1","-27.432242","-48.458217","Rua José Daux","1","MON","280","96"
"65625418","1500",NA,"0","2","0","-27.5989497","-48.5262256","ACACIAS, DAS, 121","0","MON",NA,NA
"65625311","1250",NA,"1","1","0","-27.5932366","-48.5437358","Servidão Fedrigo","1","MON",NA,NA
"58670103","20000","296","0","4","2","-27.4371444","-48.4987167","Rodovia Tertuliano Brito Xavier","2","MON",NA,NA
"63985930","2600","122","3","3","1","-27.5932366","-48.5437358",NA,"1","MON","650",NA
"63884920","1900","123","3","3","1","-27.5932366","-48.5437358",NA,"2","MON","587",NA
"66039126","2000","187","3","2","2","-27.6055556","-48.5947222",NA,"2","MON","685",NA
"63819535","2150","82","2","2","1","-27.5944444","-48.5752778",NA,"1","MON","292",NA
"63111357","1100","70","1","2","2","-27.5944444","-48.5752778",NA,"1","MON","370",NA
"65902826","1400","59","1","2","1","-27.5932366","-48.5437358",NA,"0","MON","320",NA
"65714496","1350","83","1","2","1","-27.6097939","-48.5162223",NA,"0","MON","390",NA
"64082997","1000","58","1","2","1","-27.4465934","-48.3838753",NA,"0","MON","122",NA
"63782907","3200","87","3","3","2","-27.6013372","-48.5062207",NA,"1","MON","359",NA
"65039248","1100","65","1","1","1","-27.5932366","-48.5437358",NA,"0","MON","30",NA
"53864003","350",NA,"1","3","1","-27.420861","-48.429115","Rua Jardim Estoril","0","DAY",NA,NA
"53881715","350","75","2","2","1","-27.422842","-48.435566","AV LUIZ B PIAZZA","1","DAY",NA,NA
"53864005","310",NA,"2","2","1","-27.422319","-48.435437","Rua Pedro Alexandrino","1","DAY",NA,NA
"59881300","320",NA,"1","1","1","-27.4146335","-48.4237772","Rua Desembargador Osvaldo Áreas Horn","0","DAY",NA,NA
"53864057","195",NA,"1","1","1","-27.398444","-48.428814","Avenida Luiz Boiteux Piazza","0","DAY",NA,NA
"53881713","460",NA,"2","2","1","-27.421643","-48.432341","R LEONEL PEREIRA","1","DAY",NA,NA
"53864036","260",NA,"0","1","1","-27.422069","-48.431205","R LEONEL PEREIRA","0","DAY",NA,NA
"64292745","1200",NA,"1","2","1","-27.57588","-48.508428","Rua Pastor William Richard Schisler Filho, 754","1","MON","400",NA
"64683902","2500","100","2","3","1","-27.5932366","-48.5437358","Rua Heitor Luz","1","MON","642",NA
"64684668","1100","76","2","3","0","-27.5944444","-48.5752778","RUA CORONEL PEDRO DEMORO","0","MON","80",NA
"65159275","1400","35","1","2","0","-27.5832323","-48.496221","Servidão José Antônio de Lima","0","MON","0",NA
"64684696","1300","65","2","2","1","-27.5944444","-48.5752778","Rua Líbia Cruz","1","MON","421",NA
"65785380","800",NA,"1","0","1","-27.6013372","-48.5062207","Rua Vera Linhares de Andrade","0","MON","304",NA
"64684590","2500","92","2","3","2","-27.5832323","-48.496221","SRV PROFESSORA ADELINA GERTRUDES JACINTO","1","MON","399",NA
"64684084","650","25","1","1","1","-27.5805556","-48.5961111","SRV ERNESTO AMARO VIEIRA","0","MON","85",NA
"64684619","1400","78","2","2","2","-27.5944444","-48.5752778","Rua Líbia Cruz","1","MON","478",NA
"58488769","1700","75","2","2","1","-27.5795331","-48.5825281","Rua José Cândido da Silva","1","MON","515","98"
"63986433","700","81","1","2","0","-27.5944444","-48.5752778","Rua Santos Saraíva","0","MON","120","86"
"63075305","700","45","1","2","0","-27.5944444","-48.5752778","KURT RANTOUR, 313","0","MON","200","49"
"58105587","2100","100","2","3","1","-27.6055556","-48.5947222","Rua João Meirelles","3","MON","615","152"
"58093444","2100","88","2","2","1","-27.6055556","-48.5947222","Rua João Meirelles","2","MON","550","109"
"58093149","2200","83","2","2","1","-27.6055556","-48.5947222","Rua João Meirelles","2","MON","540","106"
"59075908","1700","80","2","3","1","-27.5932366","-48.5437358","Rua José Jaques, 163","1","MON","819","131"
"64510692","750","51","1","1","0","-27.5932366","-48.5437358","Rua Tenente Silveira","1","MON","444","67"
"64873407","3200","124","2","3","2","-27.56533","-48.51616","Rodovia João Paulo","1","MON","650",NA
"64880093","1300","68","2","2","1","-27.59406","-48.545591","Rua Herman Blumenau","2","MON","640",NA
"65800977","650","71","1","1","1","-27.428754","-48.459782","Rua Madre Maria Vilac","0","MON","480",NA
"63782977","2000","82","2","2","2","-27.5859781","-48.5237246",NA,"1","MON","485",NA
"65241823","1800","99","2","3","1","-27.588425","-48.584051",NA,"1","MON","450",NA
"64984295","880","40","1","1","1","-27.5932366","-48.5437358",NA,"0","MON","470",NA
"53864023","370",NA,"2","2","1","-27.421643","-48.432341","R LEONEL PEREIRA","1","DAY",NA,NA
"53914006","450",NA,"2","2","1","-27.422069","-48.431205","R LEONEL PEREIRA","2","DAY",NA,NA
"53881578","370",NA,"2","2","1","-27.419469","-48.431687","AV LUIZ B PIAZZA","0","DAY",NA,NA
"53881658","340",NA,"2","2","2","-27.422305","-48.435219","Rua Pedro Alexandrino","1","DAY",NA,NA
